municipios,vacinados_parcial_F_17,vacinados_parcial_M_17,vacinados_completo_F_17,vacinados_completo_M_17,vacinados_parcial_F_35,vacinados_parcial_M_35,vacinados_completo_F_35,vacinados_completo_M_35,vacinados_parcial_F_59,vacinados_parcial_M_59,vacinados_completo_F_59,vacinados_completo_M_59,vacinados_parcial_F_200,vacinados_parcial_M_200,vacinados_completo_F_200,vacinados_completo_M_200,date
CAMPO DO BRITO,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-02-01
CRISTINAPOLIS,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-02-01
CANHOBA,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
MALHADA DOS BOIS,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
CARMOPOLIS,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-02-01
SIRIRI,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
NOSSA SENHORA DE LOURDES,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-02-01
ITABI,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
SAO FRANCISCO,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
UMBAUBA,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,3.0,0.0,0.0,2021-02-01
ROSARIO DO CATETE,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-02-01
CUMBE,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-02-01
RIACHUELO,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,2021-02-01
GENERAL MAYNARD,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,2021-02-01
MURIBECA,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
GRACHO CARDOSO,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
FEIRA NOVA,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
SAO DOMINGOS,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
TELHA,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,2021-02-01
SANTO AMARO DAS BROTAS,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,2021-02-01
AMPARO DE SAO FRANCISCO,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
NOSSA SENHORA DO SOCORRO,0.0,0.0,0.0,0.0,201.0,146.0,201.0,79.0,427.0,280.0,427.0,153.0,35.0,122.0,35.0,28.0,2021-03-01
LAGARTO,0.0,0.0,0.0,0.0,393.0,495.0,393.0,206.0,481.0,381.0,481.0,196.0,37.0,193.0,37.0,38.0,2021-03-01
CANINDE DE SAO FRANCISCO,0.0,0.0,0.0,0.0,24.0,14.0,24.0,10.0,49.0,59.0,49.0,36.0,0.0,26.0,0.0,3.0,2021-03-01
MARUIM,0.0,0.0,0.0,0.0,22.0,8.0,22.0,7.0,79.0,34.0,79.0,30.0,2.0,19.0,2.0,5.0,2021-03-01
ARACAJU,1.0,1.0,1.0,0.0,2348.0,1242.0,2348.0,689.0,3199.0,2051.0,3199.0,1154.0,230.0,857.0,230.0,196.0,2021-03-01
TOBIAS BARRETO,0.0,0.0,0.0,0.0,85.0,100.0,85.0,46.0,129.0,148.0,129.0,62.0,27.0,117.0,27.0,25.0,2021-03-01
LARANJEIRAS,0.0,0.0,0.0,0.0,16.0,16.0,16.0,7.0,97.0,79.0,97.0,33.0,7.0,22.0,7.0,2.0,2021-03-01
CAPELA,0.0,0.0,0.0,0.0,57.0,58.0,57.0,20.0,78.0,72.0,78.0,34.0,1.0,50.0,1.0,3.0,2021-03-01
ESTANCIA,0.0,0.0,0.0,0.0,135.0,108.0,135.0,36.0,165.0,167.0,165.0,46.0,23.0,86.0,23.0,18.0,2021-03-01
MOITA BONITA,0.0,0.0,0.0,0.0,24.0,11.0,24.0,12.0,39.0,10.0,39.0,9.0,1.0,26.0,1.0,0.0,2021-03-01
TOMAR DO GERU,0.0,0.0,0.0,0.0,19.0,10.0,19.0,10.0,28.0,31.0,28.0,32.0,0.0,13.0,0.0,0.0,2021-03-01
